Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
ClearPeople Ltd,"ClearPeople are a Gold Certified Microsoft Partner with 4 Gold Competencies offering Atlas a people first digital workspace product. We help clients to become more productive through the use of Microsoft 365 cloud technologies. Atlas drives employee engagement and is a platform for communications intranets, knowledge management and collaboration.",paardenburg@clearpeople.com,+44 (0)20 33 769 500,Petula Aardenburg
Clear Review,"Performance Management software built specifically to help organisations move from broken annual appraisals to regular, meaningful performance conversations. Using an intuitive interface and the three foundations of performance improvement: regular check-ins, feedback, and SMART objectives - our digital framework delivers high user engagement, reports, and significantly reduced administrative pain.",oliver.harris@clearreview.com,07769640966,Oliver Harris
CLEAR SAFETY SERVICES LTD,"Compliance and Safety Process Management and Oversight. Including Compliance process oversight, contractor management and financial oversight. For public and private landlords including Registered Social Housing providers,  Schools, Universities, Public Access Buildings",stuart@clearsafety.co.uk,01303684001,Stuart Letley
CLEARVIEW INTELLIGENCE LIMITED,,sales@clearview-intelligence.com,01908088710,Sales
Clearvision CM,"Clearvision is a leading UK headquartered Global Enterprise Atlassian Platinum Solution Partner. Specialising in Software Development Lifecycle (SDLC), Service Management & Collaboration solutions. With a long-term track-record of delivering best-of-breed solutions enabling Public Sector & Commercial organisation to achieve their goals we aim to become your trusted advisor.",sales@clearvision-cm.com,+44 (0) 845 459 9530,Jon Olsen
Clear Visual Communications Ltd,"ClearVC is a specialist provider of Audio Visual, Videoconferencing, Collaboration and Unified Communication solutions.",adrian.hancock@clearvc.co.uk,033 0088 3984,Adrian Hancock
CLEATA LIMITED,,Contactus@cleata.com,07889842417,Brendan Tate
Clerkswell,"ClerksWell is a London based digital agency and Microsoft Partner with a global reach and over 20 years' experience offering a full range of online services: website design, intranets, digital marketing, strategic consultancy, creative design and technical solutions. We are experts in Sitecore, Umbraco, SharePoint, Teams, Microsoft 365 and more.",hello@clerkswell.com,02076898800,Megan Burberry
Click4Assistance Limited,"Established since 2004, Click4Assistance is a UK based live chat software provider offering a full range of online communication tools with all data processed and stored within the UK. The solution includes webchat, chatbots, click2call, virtual meeting rooms, promotions, social media integration and much more.",jill.stephens@click4assistance.co.uk,01268 524 628,Jill Stephens
ClickView Ltd,"ClickView is currently the world’s leading producer of educational video content for Primary School through to Higher Education. Cloud solution that provides hosting of content (repository), with features such as interactive question layers, supplementary resources, television recordings including BBC RES. A pedagogical tool for teaching and learning.",chris.woods@clickview.co.uk,03332076595,Chris Woods
Clinical Architecture,"Clinical Architecture are experts in terminology management creating innovative software solutions to help organisations take control of their terminology implementation needs efficiently.

Our core product, Symedical®, is a comprehensive terminology management system with runtime services that helps acquire, create, update, share, integrate, distribute and understand clinical information.",ian_moody@clinicalarchitecture.co.uk,01837 657 666,Ian Moody
Clinic.co,"Clinic.co is a web-based platform enabling healthcare professionals to provide telehealth services - from 111 to 999 services, from primary care to specialist hospital clinics. No App patient side App is required, the platform opens any mobile phone with a simple email / text. Artificial Intelligence can measure vital signs.",info@clinic.co,02032878128,Mark Wilson
CLINISHIFT LIMITED,"CliniShift Software Services is an e-resourcing software suite providing an information, communication platform enabling healthcare managers to reach out to their internal staff to ensure non-scheduled shifts are filled at short notice. It encompasses the CliniShift Manager and CliniShift App which is free to download by clinical & non-clinical staff.",orna@clinishift.com,+353 87 2475649,Orna Madden
Clinithink,"CLiX Unlock converts unstructured clinical data into actionable data required to help solve today’s toughest healthcare business problems in the areas of  Clinical Trials, Population Health Management, Accountable Care, Risk Reduction, and Predictive Modeling.",anne.quirk@clinithink.com,07889663055,Anne Quirk
Clinked,"Clinked is team collaboration, file sharing, document and project management software. It enables users to easily interact with both internal teams and external stakeholders; whereby they can manage projects, share and work on documents, organise and delegate tasks and events and communicate in a highly secure Cloud environment.",tayfun.bilsel@clinked.com,01223 967444,Tayfun Bilsel
clipzonk Ltd,"clipzonk develops the online collaboration portal clipzonk.com that helps people manage boards, projects meetings and events.",support@clipzonk.com,07852 133964,Support
CLOUD2020 LIMITED,"Cloud 2020 Ltd is UK  based operating across the spectrum of UK businesses and organisations to deliver solutions that are productive, secure and connected built on Microsoft's Power Platform. 
Our Dynamics 365 solutions and Power Apps enable change and increase productivity to solve many business challenges and enable growth.",ian.bourne@cloud2020.co.uk,01453827899,Ian Bourne
Cloud 21 Limited,"Cloud21 is a health IT consultancy that provides expertise and support throughout all stages of digital transformation programmes from co-developing strategy, managing procurement to implementation. At all stages we aim to engineer an interoperable environment so we take a step closer to realising the vision of joined up systems.",bid-management@cloud21.net,0845 838 8694,Michael Beckett
Cloud2 Ltd,"Cloud2 create radical industry solutions that solve business problems. We help customers solve these problems through the innate curiosity, enthusiasm and experience our people bring. 

As a leading Microsoft Gold partner, our innovation encompasses Analytics, Data and Digital Workplace, with focus on Power BI, Power Platform and Microsoft’s Azure cloud.",sales@cloud2.co.uk,01274 308378,Oliver Chan
Cloudbooking.com,"Cloudbooking enables optimisation of your workspace, lowers operational costs and encourages a collaborative and flexible working environment. We provide you with one simple solution for all your flexible space booking and management needs with continuous updates and client support included.",sales@cloudbooking.com,08000447831,Cloudbooking
Cloud Business,"Cloud Business is a cloud transformation partner, specialising in user experience.
A dedicated Microsoft practice (Gold partner and former O365 Partner of the Year), we are focused on digital productivity, collaboration, security and mobility. Since our inception in 2009, we have migrated nearly a million users to the cloud.",sales@cloudbusiness.com,+44 (0)870 787 4001,Gary Duke
CloudCoCo Limited,"CloudCoCo makes cloud transformation, consultancy, voice and connectivity simple, quick, secure and effective for government and health care organisations.

Led by a team of Public sector specialists who transformed critical national applications such as the patient records and election systems",hello@cloudcoco.co.uk,03334559885,Peter Nailer
